Datetime,Close,Position
2018-04-26 9:30,781.4,-1
2018-04-26 10:00,778.7,-1
2018-04-26 10:30,768.7,-1
2018-04-26 11:00,771.8,-1
2018-04-26 11:30,771.8,-1
2018-04-26 13:00,759.9,-1
2018-04-26 13:30,753.8,-1
2018-04-26 14:00,758.2,-1
2018-04-26 14:30,760.1,0
2018-04-27 9:00,760.9,0
2018-04-27 9:30,761.2,0
2018-04-27 10:00,763.7,0
2018-04-27 10:30,770.5,0
2018-04-27 11:00,773.3,0
2018-04-27 11:30,773.3,0
2018-04-27 13:00,773.4,0
2018-04-27 13:30,767.9,0
2018-04-27 14:00,772.5,-1
2018-04-27 14:30,772.5,-1
2018-05-02 9:00,768.6,-1
2018-05-02 9:30,770.7,-1
2018-05-02 10:00,764.4,-1
2018-05-02 10:30,762.8,-1
2018-05-02 11:00,761.9,-1
2018-05-02 11:30,761.9,-1
2018-05-02 13:00,765,-1
2018-05-02 13:30,762.8,-1
2018-05-02 14:00,753,-1
2018-05-02 14:30,755.4,-1
2018-05-03 9:00,756.8,-1
2018-05-03 9:30,753.3,-1
2018-05-03 10:00,746.8,0
2018-05-03 10:30,747.1,0
2018-05-03 11:00,753.2,0
2018-05-03 13:00,755.3,0
2018-05-03 13:30,751.1,0
2018-05-03 14:00,763.4,0
2018-05-03 14:30,763.4,0
2018-05-04 9:00,761.9,0
2018-05-04 9:30,761.2,0
2018-05-04 10:00,765.1,0
2018-05-04 10:30,762.7,0
2018-05-04 11:00,762.3,0
2018-05-04 11:30,762.2,-1
2018-05-04 13:00,759.8,-1
2018-05-04 13:30,757,-1
2018-05-04 14:00,760.5,-1
2018-05-04 14:30,759,-1
2018-05-07 9:00,763.2,0
2018-05-07 9:30,762.7,0
2018-05-07 10:00,762.5,0
2018-05-07 10:30,763.4,0
2018-05-07 11:00,767.7,1
2018-05-07 13:00,770.7,1
2018-05-07 13:30,777.7,1
2018-05-07 14:00,790.5,1
2018-05-07 14:30,791.1,1
2018-05-08 9:00,789.9,0
2018-05-08 9:30,790.9,0
2018-05-08 10:00,790.4,0
2018-05-08 10:30,789.3,0
2018-05-08 11:00,791.7,0
2018-05-08 13:00,792.9,-1
2018-05-08 13:30,795.9,-1
2018-05-08 14:00,790.7,-1
2018-05-08 14:30,786.7,0
2018-05-09 9:00,785.2,0
2018-05-09 9:30,786.6,0
2018-05-09 10:00,787.5,1
2018-05-09 10:30,788.5,1
2018-05-09 11:00,792.3,1
2018-05-09 13:00,791.1,1
2018-05-09 13:30,787.7,0
2018-05-09 14:00,780.4,0
2018-05-09 14:30,780.8,0
2018-05-10 9:00,781.5,1
2018-05-10 9:30,782.7,1
2018-05-10 10:00,784.6,1
2018-05-10 10:30,784.5,1
2018-05-10 11:00,781.5,0
2018-05-10 11:30,781.5,0
2018-05-10 13:00,774.7,0
2018-05-10 13:30,770.3,0
2018-05-10 14:00,756.9,0
2018-05-10 14:30,759.8,0
2018-05-11 9:00,757.6,0
2018-05-11 9:30,756.9,0
2018-05-11 10:00,759.8,0
2018-05-11 10:30,753.8,0
2018-05-11 11:00,753.8,1
2018-05-11 13:00,763.8,1
2018-05-11 13:30,770.3,1
2018-05-11 14:00,774,1
2018-05-11 14:30,774.7,1
2018-05-14 9:00,776.7,1
2018-05-14 9:30,777.9,1
2018-05-14 10:00,773.2,1
2018-05-14 10:30,775.3,1
2018-05-14 11:00,776.7,1
2018-05-14 13:00,782.9,1
2018-05-14 13:30,778.7,0
2018-05-14 14:00,789.4,0
2018-05-14 14:30,791.7,0
2018-05-15 9:00,790.3,-1
2018-05-15 9:30,792.7,-1
2018-05-15 10:00,789.9,-1
2018-05-15 10:30,792.3,-1
2018-05-15 11:00,797.9,0
2018-05-15 13:00,799.1,0
2018-05-15 13:30,801.3,1
2018-05-15 14:00,786.7,0
2018-05-15 14:30,784.5,0
2018-05-16 9:00,784.5,0
2018-05-16 9:30,785.7,0
2018-05-16 10:00,784.5,-1
2018-05-16 10:30,783.1,-1
2018-05-16 11:00,779.3,-1
2018-05-16 13:00,777.4,-1
2018-05-16 13:30,776.8,-1
2018-05-16 14:00,771.8,-1
2018-05-16 14:30,773.3,-1
2018-05-17 9:00,770.5,-1
2018-05-17 9:30,771.8,1
2018-05-17 10:00,766.4,1
2018-05-17 10:30,765,1
2018-05-17 11:00,771.5,1
2018-05-17 13:00,765.7,1
2018-05-17 13:30,767.2,1
2018-05-17 14:00,760.2,1
2018-05-17 14:30,753.8,1
2018-05-18 9:00,760.6,1
2018-05-18 9:30,757.2,1
2018-05-18 10:00,756.8,1
2018-05-18 10:30,754,0
2018-05-18 11:00,749.8,-1
2018-05-18 13:00,747.8,-1
2018-05-18 13:30,750.5,1
2018-05-18 14:00,771,1
2018-05-18 14:30,769.4,1
2018-05-21 9:00,767.3,1
2018-05-21 9:30,766.9,0
2018-05-21 10:00,765,0
2018-05-21 10:30,770.2,0
2018-05-21 11:00,772.2,0
2018-05-21 11:30,772.2,0
2018-05-21 13:00,763,0
2018-05-21 13:30,755.3,-1
2018-05-21 14:00,749.1,-1
2018-05-21 14:30,743.5,-1
2018-05-22 9:00,741,-1
2018-05-22 9:30,740.1,-1
2018-05-22 10:00,737.2,-1
2018-05-22 10:30,739.4,-1
2018-05-22 11:00,726.2,-1
2018-05-22 11:30,724.4,-1
2018-05-22 13:00,723.4,0
2018-05-22 13:30,719.4,0
2018-05-22 14:00,718.7,0
2018-05-22 14:30,722.4,0
2018-05-23 9:00,719.7,0
2018-05-23 9:30,723.6,0
2018-05-23 10:00,725.3,0
2018-05-23 10:30,717.3,0
2018-05-23 11:00,710.6,0
2018-05-23 13:00,718.7,-1
2018-05-23 13:30,727.8,0
2018-05-23 14:00,734.1,0
2018-05-23 14:30,728.7,0
2018-05-24 9:00,726.1,0
2018-05-24 9:30,726.6,0
2018-05-24 10:00,728.2,-1
2018-05-24 10:30,719.1,-1
2018-05-24 11:00,716.4,-1
2018-05-24 13:00,720,-1
2018-05-24 13:30,723.9,-1
2018-05-24 14:00,717.9,-1
2018-05-24 14:30,717,-1
2018-05-25 9:00,714.6,-1
2018-05-25 9:30,713.8,-1
2018-05-25 10:00,717.6,-1
2018-05-25 10:30,716.4,-1
2018-05-25 11:00,718.5,0
2018-05-25 13:00,721.6,0
2018-05-25 13:30,710.8,-1
2018-05-25 14:00,701.4,-1
2018-05-25 14:30,697,-1
2018-05-28 9:00,692.7,-1
2018-05-28 9:30,692.5,0
2018-05-28 10:00,689.5,-1
2018-05-28 10:30,690.1,-1
2018-05-28 11:00,682.6,-1
2018-05-28 13:00,681.5,-1
2018-05-28 13:30,672.1,-1
2018-05-28 14:00,663.1,-1
2018-05-28 14:30,662,-1
2018-05-29 9:00,664.2,0
2018-05-29 9:30,664.2,0
2018-05-29 10:00,667.9,0
2018-05-29 10:30,678.6,0
2018-05-29 11:00,685.7,0
2018-05-29 13:00,695.1,0
2018-05-29 13:30,690.1,0
2018-05-29 14:00,690,0
2018-05-29 14:30,692.5,0
2018-05-30 9:00,687.2,-1
2018-05-30 9:30,676.3,-1
2018-05-30 10:00,678.6,-1
2018-05-30 10:30,691.7,-1
2018-05-30 11:00,695.4,-1
2018-05-30 13:00,688.6,-1
2018-05-30 13:30,684.1,-1
2018-05-30 14:00,681.8,-1
2018-05-30 14:30,680.4,-1
2018-05-31 9:00,685.6,-1
2018-05-31 9:30,687.9,0
2018-05-31 10:00,693.5,0
2018-05-31 10:30,697.3,1
2018-05-31 11:00,696.1,1
2018-05-31 13:00,694.4,1
2018-05-31 13:30,704.5,1
2018-05-31 14:00,707.4,1
2018-05-31 14:30,704.8,1
2018-06-01 9:00,705.1,1
2018-06-01 9:30,710.6,1
